Asof,Index Code,Closed Price,  Return  ,
08/10/2018,MSCI-IND-INR,1205.22, 0.0001659723490066160 ,
08/10/2018,MSCI-IND-INR-THB,536.92551, 0.0037709859911747600 ,
08/10/2018,MSCI-IND-USD,501.77, (0.0025643064445592900),
08/10/2018,MSCI-IND-USD-THB,16551.88699, 0.0010469521514335800 ,
08/10/2018,MSCI-WHC-USD,336.24, (0.0041759218125276800),
08/10/2018,MSCI-WHC-THB,11091.54888, (0.0005704981389147430),
08/10/2018,MSCI-WNET-TR-USD,6136.257, (0.0036357005628509000),
08/10/2018,MSCI-WNET-TR-THB,202416.7097, (0.0000283209950945329),
08/10/2018,NIFTY-INR,16055.4, (0.0149910274697465000),
08/10/2018,NIFTY-THB,7152.6807, (0.0114406459512775000),
08/10/2018,TOPIX-TR-JPY,2661.56, -   ,
08/10/2018,TOPIX-TR-THB,773.1113179, 0.0064829765559490900 ,
08/10/2018,US-HY-TR-USD,1287.85, (0.0017285749720947800),
08/10/2018,US-HY-TR-THB,42482.30795, 0.0018857094254445300 ,
